DEPARTEMENT (numéro),COMMUNE,Rang ville,TAXE FONCIERE,,,,,,,,,,,,Taux des taxes spéciales d'équipement (+ TASA en Ile-de-France),,,,Taux de la taxe GEMAPI,,,,TOTAL TAUX taxe foncière + taxes annexes (hors TEOM) en 2024,"EVOLUTION TAXE FONCIERE 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %",TAXE D'ENLEVEMENT DES ORDURES MENAGERES,,,,TOTAL TAUX taxe foncière  + TEOM + taxes annexes en 2024,"EVOLUTION TAXE FONCIERE + TEOM 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %"
,,,Taux au profit de la commune,,,,Taux au profit d'un syndicat de communes ou mixte,,,,Taux au profit d'une intercommunalité ,,,,,,,,,,,,,,,,Taux,Taux,Taux,Taux,,,,
,,,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,,,,,2021,2022,2023,2024,,,,
974,SAINT LOUIS,117,"76,53","74,23","72,00","72,00","0,00","0,00","0,00","0,00","2,00","2,00","2,00","3,00","0,66","0,65","0,60","0,58","0,64","0,63","0,65",NR,"76,23","0,4","4,0","5,3 (dp)","17,91","17,91","17,91","17,91","94,14","0,9","4,6","5,0 (dp)"
35,SAINT MALO,143,"46,03","46,03","46,03","46,03","0,00","0,00","0,00","0,00","2,00","2,60","2,60","2,60","0,12","0,09","0,08","0,08","0,29","0,30","0,32","0,34","49,05","4,6","7,1","3,9","11,40","11,40","12,16","12,16","61,21","4,4","8,5","3,9"
38,SAINT MARTIN D'HERES,199,"55,94","55,94","55,94","55,94","0,00","0,00","0,00","0,00","1,29","1,29","1,29","1,29","0,48","0,48","0,47","0,47","0,31","0,33","0,38","0,38","58,07","3,4","7,2","3,9","8,30","8,30","8,30","8,30","66,37","3,4","7,2","3,9"
94,SAINT MAUR DES FOSSES,66,"31,29","31,29","31,29","31,29","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","31,98","3,2","7,3","4,0","5,12","5,67","5,76","5,96","37,94","4,8","7,6","4,6"
44,SAINT NAZAIRE,72,"36,61","38,45","38,45","38,45","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,08","0,11","0,24","0,35","0,00","0,20","0,25","0,23","39,03","9,3","7,6","4,1","10,00","10,00","10,00","10,00","49,03","8,0","7,5","4,1"
93,SAINT OUEN SUR SEINE,126,"33,21","33,21","33,21","33,21","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","33,90","3,2","7,3","4,0","6,85","7,47","7,85","7,93","41,83","4,8","8,3","4,2"
974,SAINT PAUL,42,"41,77","41,77","41,77","41,77","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,66","0,65","0,60","0,58","0,93","0,93","1,01",NR,"43,36","3,4","7,2","3,9 (dp)","16,00","16,00","16,00","16,00","59,36","3,4","7,2","3,9 (dp)"
974,SAINT PIERRE,55,"44,18","44,18","44,18","44,18","0,00","0,00","0,00","0,00","2,00","2,00","2,00","3,00","0,66","0,65","0,60","0,58","0,64","0,63","0,65",NR,"48,41","3,3","7,1","6,0 (dp)","17,91","17,91","17,91","17,91","66,32","3,4","7,1","5,5 (dp)"
69,SAINT PRIEST,141,"30,06","30,06","30,06","34,95","0,28","0,33","0,36","0,38","0,55","0,55","0,55","0,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","36,04","3,6","7,2","20,9","4,93","4,93","4,93","5,19","41,23","3,5","7,2","19,3"
02,SAINT QUENTIN,115,"65,40","65,40","65,40","65,40","0,00","0,00","0,00","0,00","2,57","5,00","5,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","70,40","7,1","7,1","3,9","14,21","11,81","12,95","12,95","83,35","3,4","8,6","3,9"
13,SALON DE PROVENCE,153,"45,54","45,54","45,54","45,54","0,00","0,00","0,00","0,00","3,29","3,19","3,09","2,99","0,19","0,19","0,18","0,18","0,48","0,51","0,61","0,56","49,26","3,2","7,1","3,6","14,00","14,00","14,00","14,00","63,26","3,3","7,1","3,6"
95,SARCELLES,95,"36,90","36,90","36,90","36,90","0,00","0,00","0,00","0,00","3,94","4,58","4,58","4,58","0,62","0,57","0,58","0,59","0,43","0,46","0,46",NR,"42,53","4,8","7,1","3,9 (dp)","6,94","6,94","6,94","6,94","49,47","4,6","7,1","3,9 (dp)"
78,SARTROUVILLE,120,"24,04","24,04","24,04","24,04","0,28","0,27","0,28","0,26","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,13","0,16","0,24","0,23","25,11","3,3","7,5","3,8","6,74","6,45","6,00","6,00","31,11","2,4","5,9","3,8"
34,SETE,163,"59,23","59,23","59,23","59,23","0,00","0,00","0,00","0,00","2,11","2,33","4,10","4,10","0,20","0,20","0,25","0,24","1,24","1,24","1,29","1,17","64,74","3,8","10,3","3,7","14,50","14,50","14,50","14,50","79,24","3,7","9,7","3,7"
93,SEVRAN,124,"41,49","41,49","41,49","41,49","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","42,18","3,3","7,3","4,0","5,15","5,30","7,45","7,45","49,63","3,6","12,1","4,0"
93,STAINS,195,"41,19","41,19","41,19","41,19","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","41,88","3,3","7,3","4,0","7,45","7,85","7,85","7,93","49,81","4,1","7,3","4,2"
67,STRASBOURG,8,"37,44","37,44","37,44","37,44","0,00","0,00","0,00","0,00","1,15","4,60","4,60","4,60","0,11","0,12","0,21","0,21","0,00","0,00","0,00","0,00","42,25","12,6","7,3","3,9","11,59","11,59","11,59","11,59","53,84","10,5","7,3","3,9"
92,SURESNES,131,"26,10","26,10","26,10","26,10","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","26,79","3,2","7,4","4,1","3,47","3,47","3,47","3,47","30,26","3,2","7,3","4,0"
33,TALENCE,164,"49,69","49,69","49,69","49,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,18","0,17","0,48","0,53","0,00","0,00","0,00","0,22","50,44","3,4","7,8","4,5","8,69","7,55","7,18","7,18","57,62","1,4","7,0","4,4"
65,TARBES***,172,"54,59","54,59","54,25","53,99","0,00","0,00","0,00","0,00","0,66","0,79","0,81","0,89","0,20","0,20","0,25","0,24","0,31","0,32","0,36","0,39","55,50","3,7","6,7","3,6","8,05","7,75","7,70","7,48","62,98","3,1","6,6","3,3"
57,THIONVILLE,183,"37,26","37,26","37,26","37,26","0,00","0,00","0,00","0,00","1,00","3,00","3,00","5,00","0,14","0,10","0,10","0,10","0,21","0,22","0,28","0,25","42,61","8,7","7,2","8,9","11,19","11,24","11,29","11,34","53,95","7,6","7,3","7,9"
83,TOULON,13,"39,39","39,39","39,39","39,39","4,43","4,58","4,72","4,55","4,00","5,00","5,00","5,00","0,19","0,19","0,18","0,18","0,44","0,46","0,51","0,49","49,61","5,9","7,5","3,5","11,88","11,87","11,86","11,85","61,46","5,4","7,4","3,6"
31,TOULOUSE,4,"35,35","35,35","35,35","35,35","0,00","0,00","0,00","0,00","13,20","13,20","13,20","13,20","0,38","0,42","0,72","0,77","0,00","0,27","0,34","0,33","49,65","4,1","7,9","4,0","8,10","8,10","8,10","8,10","57,75","4,0","7,8","4,0"
59,TOURCOING,44,"50,99","50,99","50,99","50,99","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,26","0,16","0,20","0,18","0,00","0,38","0,45","0,42","51,59","4,0","7,3","3,8","13,39","13,39","14,64","14,64","66,23","3,8","9,3","3,8"
37,TOURS,26,"38,94","43,44","43,44","43,44","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,33","0,35","0,33","0,00","0,30","0,38","0,35","44,12","16,0","7,3","3,8","10,86","10,86","10,86","10,86","54,98","13,3","7,3","3,8"
10,TROYES,90,"46,24","46,24","50,44","50,44","0,00","0,00","0,00","0,00","0,12","0,12","2,61","2,61","0,04","0,07","0,09","0,10","0,88","0,93","1,03","0,99","54,14","3,5","22,5","3,8","8,82","11,50","11,50","10,95","65,09","8,5","19,5","3,0"
26,VALENCE,83,"40,68","40,68","40,68","40,68","0,00","0,00","0,00","0,00","3,96","3,96","3,96","3,96","0,23","0,22","0,23","0,22","0,48","0,51","0,54","0,51","45,37","3,4","7,2","3,8","7,95","8,25","8,25","8,25","53,62","4,0","7,2","3,8"
59,VALENCIENNES,169,"49,31","49,31","49,31","49,31","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,26","0,16","0,20","0,18","0,00","0,00","0,00","0,00","49,48","3,2","7,2","3,9","12,07","12,07","12,07","12,07","61,55","3,2","7,2","3,9"
56,VANNES,114,"33,68","33,68","33,68","33,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,12","0,09","0,08","0,08","0,00","0,38","0,43","0,39","34,15","4,5","7,2","3,8","8,01","9,28","10,55","11,82","45,97","7,4","10,3","6,8"
69,VAULX EN VELIN,119,"37,49","37,49","37,49","37,49","1,32","1,31","1,33","1,28","0,55","0,55","0,55","0,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","39,47","3,4","7,2","4,2","4,93","4,93","4,93","5,19","44,66","3,4","7,1","4,8"
69,VENISSIEUX,77,"34,08","34,08","34,08","34,08","2,37","2,26","2,26","2,20","0,55","0,55","0,55","0,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","36,98","3,1","7,1","4,2","4,93","4,93","4,93","5,19","42,17","3,1","7,1","4,8"
78,VERSAILLES,56,"26,10","26,10","26,10","26,10","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,00","0,00","0,12","0,13","26,81","3,2","7,6","3,9","5,39","5,39","5,39","5,39","32,20","3,2","7,5","3,9"
94,VILLEJUIF,105,"38,59","38,59","41,59","41,59","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","42,28","3,3","15,5","4,0","5,70","5,90","5,90","5,87","48,15","3,7","14,4","3,9"
59,VILLENEUVE D'ASCQ,91,"47,67","47,67","50,67","50,67","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,26","0,16","0,20","0,18","0,00","0,38","0,45","0,42","51,27","4,0","14,0","3,8","13,39","13,39","14,64","14,64","65,91","3,9","14,7","3,8"
93,VILLEPINTE,201,"47,84","47,84","47,84","48,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","49,53","3,3","7,3","6,1","5,15","5,30","7,45","7,45","56,98","3,6","11,5","5,8"
69,VILLEURBANNE,20,"29,94","29,94","29,94","32,93","0,54","0,60","0,60","0,56","0,55","0,55","0,55","0,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","34,20","3,6","7,1","14,3","4,93","4,93","4,93","5,19","39,39","3,6","7,1","13,6"
94,VINCENNES,129,"34,18","34,18","34,18","34,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","34,87","3,2","7,3","4,0","4,05","4,72","4,93","5,25","40,12","5,0","7,9","4,8"
94,VITRY SUR SEINE,46,"33,47","34,58","37,69","37,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","38,38","6,6","16,8","4,0","7,35","7,72","7,87","7,87","46,25","7,0","15,4","4,0"
59,WATTRELOS,181,"68,79","68,50","67,50","67,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,26","0,16","0,20","0,18","0,00","0,38","0,45","0,42","67,80","3,4","5,7","3,4","13,39","13,39","14,64","14,64","82,44","3,4","7,6","3,5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR : non renseigné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(dp) : donnée provisoire à affiner en fonction du taux GEMAPI 2024 (manquant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Ces villes ont fusionné avec d'autres communes et une harmonisation des taux est en cours. Nous ne prenons en compte que le taux appliqué pour le territoire historique de la Ville. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Ces villes appliquent des taux minorés de TEOM par zone. Nous ne prenons en compte que le taux maximum. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** Dans ces villes, une part incitative de taxe d'enlèvement des ordures ménagères est prélevée en plus du taux de base. Ce dernier taux ne peut donc pas être comparé au taux d'autres communes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Important : les données complètes étant manquantes pour Massy (127e au classement des villes les plus peuplées), Saint-Laurent-du-Maroni (138e), Charleville-Mézières (145e), Saint-Brieuc (166e), Boulogne-sur-Mer (186e) et Saint-Joseph (200e), ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nous avons remplacé ces communes par Villepinte (201ème), Pontault-Combault (202ème), Franconville (204e), Annemasse (205e), Villenave-d'Ornon (206e), et Chatillon (207e). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Echirolles (205ème), Franconville (204ème), Pontault-Combault (202ème), Saint-Raphaël (214ème) et Villepinte (201ème). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
