DEPARTEMENT (numéro),COMMUNE,Rang ville,TAXE FONCIERE,,,,,,,,,,,,Taux des taxes spéciales d'équipement (+ TASA en Ile-de-France),,,,Taux de la taxe GEMAPI,,,,TOTAL TAUX taxe foncière + taxes annexes (hors TEOM) en 2024,"EVOLUTION TAXE FONCIERE 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %",TAXE D'ENLEVEMENT DES ORDURES MENAGERES,,,,TOTAL TAUX taxe foncière  + TEOM + taxes annexes en 2024,"EVOLUTION TAXE FONCIERE + TEOM 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %"
,,,Taux au profit de la commune,,,,Taux au profit d'un syndicat de communes ou mixte,,,,Taux au profit d'une intercommunalité ,,,,,,,,,,,,,,,,Taux,Taux,Taux,Taux,,,,
,,,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,,,,,2021,2022,2023,2024,,,,
51,CHALONS EN CHAMPAGNE,161,"42,37","42,37","42,37","42,37","0,00","0,00","0,00","0,00","1,24","1,24","1,24","1,24","0,04","0,07","0,09","0,10","0,00","0,00","0,00","0,20","43,91","3,4","7,2","4,4","10,12","10,12","10,12","10,12","54,03","3,4","7,2","4,3"
73,CHAMBERY,97,"40,46","41,96","41,96","41,96","0,00","0,00","0,00","0,00","2,30","2,30","4,30","4,30","0,21","0,21","0,20","0,21","0,00","0,00","0,00","0,00","46,47","7,0","11,9","3,9","8,28","8,28","8,28","8,28","54,75","6,4","11,2","3,9"
94,CHAMPIGNY SUR MARNE,63,"35,91","35,91","35,91","35,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","36,60","3,3","7,3","4,0","10,17","10,16","9,69","9,33","45,93","3,3","6,2","3,2"
36,CHATEAUROUX,170,"43,82","43,82","43,82","43,82","0,00","0,00","0,00","0,00","0,00","1,52","1,52","1,52","0,00","0,00","0,00","0,38","0,00","0,00","0,00","0,00","45,71","7,0","7,1","4,8","10,34","8,75","8,75","8,75","54,46","3,3","7,1","4,6"
92,CHATILLON,207,"25,51","25,51","25,51","25,51","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","26,20","3,2","7,4","4,1","4,73","4,77","4,81","4,85","31,05","3,4","7,5","4,2"
77,CHELLES,106,"42,35","42,35","42,35","42,35","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,00","0,16","0,19","0,18","43,11","3,7","7,2","3,9","6,59","7,18","7,02","6,66","49,77","4,9","6,8","3,1"
50,CHERBOURG-EN-COTENTIN*,59,"47,13","47,02","49,22","49,10","0,00","0,00","0,00","0,00","3,10","3,53","3,53","3,53","0,11","0,12","0,11","0,11","0,00","0,37","0,35","0,37","53,11","4,8","11,6","3,7","11,70","11,70","11,70","11,70","64,81","4,6","10,8","3,7"
94,CHOISY LE ROI,148,"39,84","39,84","39,84","39,84","1,83","1,85","1,80","1,73","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","42,26","3,3","7,1","3,8","7,59","7,72","8,95","8,95","51,21","3,6","9,8","3,8"
49,CHOLET,113,"49,53","49,53","49,53","49,53","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","49,53","3,4","7,1","3,9","9,11","9,11","11,60","10,80","60,33","3,4","11,6","2,5"
92,CLAMART,118,"22,98","22,98","22,98","22,98","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","23,67","3,2","7,4","4,1","5,88","5,76","5,64","5,64","29,31","2,8","6,9","4,0"
