Station_Name,Station_Town,Department,Longitude,Latitude,FRET,VOYAGEURS
Cessieu,CESSIEU,ISERE,5.376503013725852,45.560946177685025,N,O
Bazoches,BAZOCHES-ET-SAINT-THIBAUT,AISNE,3.616467770361404,49.305274498556166,N,O
Gemeaux,GEMEAUX,COTE-D'OR,5.129734642399783,47.47814146694035,N,O
Rosny-sous-Bois,ROSNY-SOUS-BOIS,SEINE-SAINT-DENIS,2.486053771443001,48.87051086552947,N,O
Troyes,SAINT-JULIEN-LES-VILLAS,AUBE,4.093255492388044,48.267956881185235,O,O
Ailly-sur-Noye,AILLY-SUR-NOYE,SOMME,2.364295000500494,49.75486539962855,O,O
Éloyes,ELOYES,VOSGES,6.59997034529485,48.087125849744865,N,O
Lezennes,LILLE,NORD,3.099675595055702,50.62054878580979,N,O
La Garde,LA GARDE,VAR,6.010088274585391,43.11864738966461,N,O
Grandvilliers,GRANDVILLIERS,OISE,1.938728682479368,49.659261837964,O,O
Serdinya,SERDINYA,PYRENEES-ORIENTALES,2.323221995415574,42.56698185636394,N,O
Abancourt,ABANCOURT,OISE,1.774718285053579,49.68553371297622,N,O
Valence-TGV,ALIXAN,DROME,4.978549257404847,44.99274215354382,N,O
Saillat-Chassenon,SAILLAT-SUR-VIENNE,HAUTE-VIENNE,0.811741675479887,45.86954035138914,O,O
St-Armel,SAINT-ARMEL,ILLE-ET-VILAINE,-1.594854775231689,48.01416047020141,N,O
Bollène-la-Croisière,BOLLENE,VAUCLUSE,4.708148184793457,44.27154233164936,O,O
Nesle,NESLE,SOMME,2.909003683132353,49.7640751454266,O,O
Golfech,GOLFECH,TARN-ET-GARONNE,0.853637697839654,44.116212667357935,N,O
Étang,ETANG-SUR-ARROUX,SAONE-ET-LOIRE,4.183713530019221,46.868012419549025,N,O
Louverné,LOUVERNE,MAYENNE,-0.714321788569237,48.10888106533703,N,O
Tessonnières,GAILLAC,TARN,1.937882599131063,43.92872774567249,O,O
Goncelin,GONCELIN,ISERE,5.973982765486262,45.34197077504866,N,O
La Villette-St-Prest,SAINT-PREST,EURE-ET-LOIR,1.523025386051404,48.48261879661532,N,O
Lozanne,LOZANNE,RHONE,4.682629820999579,45.85405491937336,O,O
Gironde,GIRONDE-SUR-DROPT,GIRONDE,-0.091953787971817,44.58299090218213,N,O
Vorey,VOREY,HAUTE-LOIRE,3.910845069786845,45.183917174735306,N,O
Coursan,COURSAN,AUDE,3.051416551996191,43.23418716654783,N,O
Boucoiran,BOUCOIRAN-ET-NOZIERES,GARD,4.18754351808406,43.99273014025837,N,O
Jacques-Monod-La Demi-Lieue,MONTIVILLIERS,SEINE-MARITIME,0.185965204616912,49.52699924587134,N,O
Anse,ANSE,RHONE,4.719886003240322,45.939355674976504,N,O
Gièvres,GIEVRES,LOIR-ET-CHER,1.668036905347221,47.27903366095384,O,O
Cannes-la-Bocca,CANNES,ALPES-MARITIMES,6.986338060282122,43.54903243108161,N,O
Mouroux,MOUROUX,SEINE-ET-MARNE,3.044047451591068,48.81347015023518,N,O
Paris-St-Lazare,PARIS,PARIS,2.324000851373341,48.876449960632634,N,O
